가게이름,가게종류,별점,후기 개수,후기 링크,리뷰 개수,리뷰 링크,주소,지번주소,운영시간,가게 상세보기,가게 전화번호,가게 URL(M과비슷),SNS/웹 홈페이지
모아니,카페,(30),후기 미제공,no_link,리뷰 442,https://place.map.kakao.com/1134535500#review,경기 성남시 분당구 쇳골로 116 1층,(지번) 금곡동 6-1,기간 2022년 10월 4일 ~ 2022년 10월 7일,https://place.map.kakao.com/1134535500?openhour=1,031-711-2556,https://place.map.kakao.com/1134535500,https://www.instagram.com/moani____/
카페만디,카페,3.7,43건,https://place.map.kakao.com/1484394628#comment,리뷰 453,https://place.map.kakao.com/1484394628#review,"부산 사하구 오작로 104-7 1,2층",(지번) 괴정동 377-70,매일 11:00 ~ 22:00,https://place.map.kakao.com/1484394628?openhour=1,070-7818-1047,no_link,https://www.instagram.com/cafe_mandi/
온더선셋,카페,3.5,79건,https://place.map.kakao.com/482253011#comment,리뷰 706,https://place.map.kakao.com/482253011#review,경남 거제시 사등면 성포로 65 1~3층,(지번) 사등면 성포리 390-2,매일 10:00 ~ 22:00,https://place.map.kakao.com/482253011?openhour=1,상세보기,https://place.map.kakao.com/482253011,https://www.instagram.com/onthesunset
울트라마린,커피전문점,4.5,253건,https://place.map.kakao.com/1915903142#comment,리뷰 421,https://place.map.kakao.com/1915903142#review,제주특별자치도 제주시 한경면 일주서로 4611 지하1층,(지번) 한경면 판포리 1611,매일 11:00 ~ 20:00,https://place.map.kakao.com/1915903142?openhour=1,064-803-0414,no_link,https://www.instagram.com/ultramarine_jeju
더로드101,카페,3.5,57건,https://place.map.kakao.com/1443176232#comment,리뷰 390,https://place.map.kakao.com/1443176232#review,경남 하동군 화개면 화개로 357,(지번) 화개면 삼신리 341-3,"월,화,수,목,금,일 10:00 ~ 20:00",https://place.map.kakao.com/1443176232?openhour=1,070-4458-4650,no_link,http://www.instagram.com/theroad101
농도,카페,4.2,58건,https://place.map.kakao.com/311156284#comment,리뷰 375,https://place.map.kakao.com/311156284#review,울산 울주군 상북면 명촌길천로 23 1층,(지번) 상북면 등억알프스리 454-39,Hidden Link,https://place.map.kakao.com/311156284,052-264-1700,https://place.map.kakao.com/311156284,https://www.instagram.com/we.are.nongdo/
카페피어라,디저트카페,3.6,54건,https://place.map.kakao.com/587310721#comment,리뷰 725,https://place.map.kakao.com/587310721#review,충남 당진시 합덕읍 합덕대덕로 502-24,(지번) 합덕읍 석우리 48-35,매일 10:30 ~ 20:00,https://place.map.kakao.com/587310721?openhour=1,상세보기,https://place.map.kakao.com/587310721,https://www.instagram.com/cafepiora/
엘로우,커피전문점,3.4,103건,https://place.map.kakao.com/1657634396#comment,리뷰 470,https://place.map.kakao.com/1657634396#review,경북 경주시 경감로 375-16 엘로우,(지번) 천군동 315-1,매일 10:00 ~ 22:00,https://place.map.kakao.com/1657634396?openhour=1,054-774-1103,no_link,http://instagram.com/llow_official
대가방 본점,중국요리,3.3,92건,https://place.map.kakao.com/7815078#comment,리뷰 120,https://place.map.kakao.com/7815078#review,서울 강남구 선릉로145길 13 럭스웨이빌딩 1층,(지번) 논현동 99-7,월~금 11:30 ~ 21:00 · 브레이크타임 월~토 15:00 ~ 17:00,https://place.map.kakao.com/7815078?openhour=1,02-544-6336,no_link,http://daegabang.modoo.at/
초량1941,카페,(30),후기 미제공,no_link,리뷰 375,https://place.map.kakao.com/1134332344#review,부산 동구 망양로 533-5,(지번) 초량동 845,051-462-7774,https://place.map.kakao.com/1134332344?openhour=1,051-462-7774,https://place.map.kakao.com/1134332344,http://instagram.com/_choryang
마호가니 강화점,카페,3.2,42건,https://place.map.kakao.com/1342193563#comment,리뷰 551,https://place.map.kakao.com/1342193563#review,"인천 강화군 화도면 해안남로1844번길 19 3동 1, 2층",(지번) 화도면 흥왕리 20-10,월~금 10:30 ~ 20:00,https://place.map.kakao.com/1342193563?openhour=1,상세보기,https://place.map.kakao.com/1342193563,
정지영커피로스터즈 장안문점,카페,3.4,76건,https://place.map.kakao.com/288079316#comment,리뷰 437,https://place.map.kakao.com/288079316#review,"경기 수원시 팔달구 정조로905번길 13 1,2층",(지번) 장안동 22-15,매일 12:00 ~ 22:00,https://place.map.kakao.com/288079316?openhour=1,070-7537-0091,no_link,http://www.instagram.com/jungjiyoungcoffee
서북면옥,냉면,3.7,159건,https://place.map.kakao.com/7939102#comment,리뷰 266,https://place.map.kakao.com/7939102#review,서울 광진구 자양로 199-1,(지번) 구의동 80-47,월~토 11:00 ~ 19:00,https://place.map.kakao.com/7939102?openhour=1,02-457-8319,no_link,
온량,이탈리안,3.7,164건,https://place.map.kakao.com/1493852185#comment,리뷰 417,https://place.map.kakao.com/1493852185#review,서울 성동구 서울숲4길 26-10 1층,(지번) 성수동1가 668-54,매일 12:00 ~ 21:00,https://place.map.kakao.com/1493852185?openhour=1,상세보기,https://place.map.kakao.com/1493852185,http://www.instagram.com/onryang_restaurant
신기숲,카페,3.4,55건,https://place.map.kakao.com/195413838#comment,리뷰 419,https://place.map.kakao.com/195413838#review,부산 영도구 와치로 65,(지번) 청학동 산 39-14,매일 12:00 ~ 21:00,https://place.map.kakao.com/195413838?openhour=1,051-414-7774,no_link,
엘리스리틀이태리,이탈리안,4.0,156건,https://place.map.kakao.com/27311545#comment,리뷰 217,https://place.map.kakao.com/27311545#review,서울 송파구 백제고분로41길 43-21 1층,(지번) 송파동 8,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:30,https://place.map.kakao.com/27311545?openhour=1,상세보기,https://place.map.kakao.com/27311545,
아줄레주,카페,4.0,158건,https://place.map.kakao.com/2003360746#comment,리뷰 492,https://place.map.kakao.com/2003360746#review,제주특별자치도 서귀포시 성산읍 신풍하동로19번길 59 나동,(지번) 성산읍 신풍리 627,"월,목,금,토,일 11:00 ~ 19:00",https://place.map.kakao.com/2003360746?openhour=1,0507-1411-4052,no_link,https://www.instagram.com/jeju_azulejo
소하고택,카페,3.1,53건,https://place.map.kakao.com/345941228#comment,리뷰 358,https://place.map.kakao.com/345941228#review,경기 광명시 신촌북로 7,(지번) 소하동 27-1,월~토 12:00 ~ 21:00,https://place.map.kakao.com/345941228?openhour=1,02-6013-1957,no_link,https://www.sohagotaek.com/
클랭블루,디저트카페,4.5,320건,https://place.map.kakao.com/1313144249#comment,리뷰 489,https://place.map.kakao.com/1313144249#review,제주특별자치도 제주시 한경면 한경해안로 552-22,(지번) 한경면 신창리 1293-1,매일 11:00 ~ 20:00,https://place.map.kakao.com/1313144249?openhour=1,010-8720-5338,no_link,
로즈스텔라정원,테마카페,3.1,37건,https://place.map.kakao.com/27504067#comment,리뷰 267,https://place.map.kakao.com/27504067#review,인천 계양구 다남로143번길 12,(지번) 다남동 64-5,영업시간 화~금 11:00 ~ 18:30,https://place.map.kakao.com/27504067?openhour=1,032-544-3624,no_link,http://blog.naver.com/likeselim
인그리드,카페,4.0,52건,https://place.map.kakao.com/769399654#comment,리뷰 327,https://place.map.kakao.com/769399654#review,제주특별자치도 제주시 서해안로 64,(지번) 이호일동 371-1,기간 2022년 10월 5일 ~ 2022년 10월 20일,https://place.map.kakao.com/769399654?openhour=1,070-8880-6646,no_link,https://www.instagram.com/ingrid_jeju
빌리웍스,커피전문점,3.8,32건,https://place.map.kakao.com/863278658#comment,리뷰 234,https://place.map.kakao.com/863278658#review,대구 북구 고성북로10길 41,(지번) 고성동3가 1-13,매일 11:30 ~ 22:00,https://place.map.kakao.com/863278658?openhour=1,053-351-0302,no_link,https://www.instagram.com/billy_works_official/
재벌식당,곰탕,2.1,209건,https://place.map.kakao.com/10726776#comment,리뷰 158,https://place.map.kakao.com/10726776#review,제주특별자치도 제주시 도령로7길 20,(지번) 연동 1965-4,영업시간 매일 07:00 ~ 13:00,https://place.map.kakao.com/10726776?openhour=1,064-744-0677,no_link,
카페더콘테나,카페,4.0,57건,https://place.map.kakao.com/665658434#comment,리뷰 162,https://place.map.kakao.com/665658434#review,제주특별자치도 제주시 조천읍 함와로 513,(지번) 조천읍 와산리 851,"영업시간 월,목,금,토,일 10:30 ~ 18:00",https://place.map.kakao.com/665658434?openhour=1,0507-1338-5130,no_link,https://www.instagram.com/cafe_the_container
