,place,confidence
0,핑크 댕댕이 ootd 대관문의 ,0.502662
1,플랫 ,0.102176
2,제주 제주시 구좌읍 행원로7길 18 9시골길안에 위치해 여기맞아 소리나옴9시30 18시 운영매주 수요일 휴무예스펫존,0.421107
3,제주,0.521857
4,카페 ,0.109557
5,팔로우미 ,0.267317
6,대관문,0.653033
7,제주도,0.523597
8,포메스타그램,0.614139
9,거제카페추천 거제정원카페 거제브런치카페 애견동반카페 영국식브런치카페 ,0.349728
10,원주연대 ,0.450313
11,온의동닭갈비거리 유림닭갈비 골목길,0.466167
12,제주애월맛집 제주도민맛집 ,0.358947
13,눈치보지말고뛰어 할일만하자,0.537429
14,용인애견카페 ,0.517986
15,메타세콰이어길 ,0.542623
16,허니버터고구마,0.811809
17,금요팅,1.000000
18,불국사 석굴암 ,0.939316
19,여름날강아지 10월28일 금 12시 오픈하늘은 높고 생강이는 살찌는 가을날,0.186134
20,테크네주짓수 ,0.327899
21,좋은점은애견동반룸,0.753744
22,제주도카페 제주카페 ,0.568869
23,이태원키에리케이크 맛집,0.601318
24,노시니어존 ,0.452829
25,용인애견카페 ,0.341673
26,충북 청주 청주카페 애견카페 동남지구 애카 청주애견동반 신상카페 ,0.613146
27,경기 김포시 고촌읍 태리로 121 Bake29s ,0.385040
28,제주 서귀포 추사유배지 추사관 영어교육도시 사캐 맥주 소주 안주 혼술 주차는 은주식당 ,0.192462
29,구월동 카페 노웨어벗히어에서 할로윈 주말을 즐겨보세요 노벗히는 오늘도 밤 10시 30분까지 열려있어요 구월동 구월동카페 ,0.293739
30,지루한 목요일 ,0.418908
31,감튀 마핫 ,0.460300
32,볼가심,0.236802
33,소나무에 고구마 걸렸네허니버터고구마가 아른아른,0.389149
34,원주달항아리 원주카페 ,0.768251
35,경북 경주시 포석로1068번길 ,0.247157
36,댕댕이들이행복한그날까지 애견카페추천 애견놀이터 댕댕이천국 뛰뛰천국,0.129797
37,한옥마을 ,0.955787
38,제주,0.392848
39,여름날강아지 10월27일 목 12시 오픈보기만 해도 귀여움에 취해버리고 만다는이슬과 카스 photo by ys s2514,0.198528
40,리니랑 카페 ,0.759708
41,에버랜드 ,0.998049
42,1층 ,0.669181
43,sin b hany 하니양2살 추카행항상 행복하 즐겁오래오래 함께하장 치와와 장모치와와 와와는 사랑이쥬,0.227708
44,포천 ,0.632625
45,포인트빌 ,0.473100
46,카페 거제노키즈존카페,0.285202
47,충북 청주 청주카페 애견카페 동남지구 애카 청주애견동반 신상카페 ,0.365587
48,충북 청주 청주카페 애견카페 동남지구 애카 청주애견동반 신상카페 ,0.813418
49,우디브룩 ,0.683405
50,왕도토리돔 랜드락 왕하비 할로윈 경찰통제선 이선을넘지마시오 ,0.566809
51,충북 청주 청주카페 애견카페 동남지구 애카 청주애견동반 신상카페 ,0.579909
52,3층 4층 ,0.428307
53,우리 유주는 아무 소리도 안 내는 아가인데 좋은 곳들은 노키즈존이 많아지는 것 같아 슬픈 아주미,0.189111
55,마산 매료테이블 ,0.925280
56,무인카페최대장점 은 바로 이 공간을 내가 대여한 것처럼 남의 눈치 보지 않고 편히 즐길 수 있다는 것이죠 특히 요즘은 노키즈존 도 많자나요 하지만 무인카페,0.385821
57,스탠다드오브스터프,0.644008
58,불광천,0.745401
59,현대백화점 ,0.838364
60,경기도 김포시 고촌읍 태리로 121 ,0.283375
61,할로윈빵 어서 놀러오시개 bongsong petfood ,0.282116
62,우디브룩 카페 학장동카페 개냥,0.230350
63,벨라야 제발 사진 찍을때만 입좀 다물어 우리집 누렁이들 가을 밭두렁 웜톤,0.272824
64,볕 좋은 날 ,0.890048
65,한옥마을 안에 있는 작은 근린공원,0.580835
66,한옥마을,0.801232
67,앞산오운 월포리91,0.907810
68,대관문,0.571797
70,요리주점 ,0.766813
71,함안카페 ,0.945678
72,할로윈카페,0.137663
73,의정부 ,0.620607
74,태리주택,0.589691
75,할로윈,0.621069
76,ufo croffle,0.856530
77,평일데이트 산아래 ,0.915047
78,이모배,0.316293
79,할로윈,0.477864
80,의정부 소셜밋츠 웰컴키즈존 해시태그 달아서 인증 시 경품 제공 경품 소진 시 이벤트 자동 종료 문화도시실험실 오백만원실험실 예스키즈존 ,0.314150
81,틴더타운,0.956914
83,부산 해운대구 세실로31 대승프라임,0.363007
85,공터,0.277459
86,부산 수영구 좌수영로 161 10,0.350079
87,뿌옇던 창문 닦아놓으니 나름 깔끔오늘도 햇살 눈뽕 오지는 날씨구만요 밤엔 쌀쌀하니 다들 감기조심하시라요,0.217063
88,여수이목 여수화양 도자기카페 갤러리카페 도자기공방 도자기판매 야생화 화분 바다뷰좋은 이쁜카페 ,0.313034
89,대관문,0.485347
90,가을 노키즈존 카페 이제못가네 ,0.190931
91,용인애견카페 ,0.189401
93,한옥마을 ,0.931048
94,사랑 마루,0.309130
95,제주,0.595005
96,노키즈존 운영 여부를 밝하지 않는 가게,0.306333
97,서민갈비 노키즈존 포항,0.252166
98,북한산 일산 고양시 덕양구 덕양구카페 숲 숲카페,0.294549
99,포항곰탕 ,0.771298
100,시작은 화려하나 끝은 항상 코믹,0.460722
101,아무도 없길래 ,0.318046
103,마농크로플 JMT ,0.224419
104,정기휴무,0.362195
105,태리주택 수원,0.474352
106,경기도 ,0.151806
107,대관문,0.313090
108,단풍구경,0.274676
109,2층 ,0.467517
110,볼가심 테라스 화창카페볼가심은 연중무휴 매장,0.214639
111,포항 카페 오브레멘 회전목마 ,0.378086
112,댕댕이들이행복한그날까지 애견카페추천 애견놀이터 댕댕이천국 뛰뛰천국,0.111605
113,코봉이네 코봉이네카페 ,0.603038
114,대관문,0.420739
115,속초핫플레이스 bbqmaster 타이거맥주 발베니 위스키하이볼 투쁠한우 투쁠나인 채끝살 오겹살 고기주점 ,0.335493
116,보돌미역세종청사점 ,0.923021
117,불국사 석굴암 ,0.868732
118,여름날강아지 10월24일 월 12시 오픈새파란 가을 하늘과 몽실몽실 구름같은 몽이 뛰뛰도 즐겁게 하고 냄새도 신나게 맡고 Posted by yeo k nam,0.331643
119,영흥도 ,0.395941
120,동물원,0.640360
121,예약필수 요리주점 ,0.608383
122,베이커리 2층 ,0.860005
123,홍천애견캠핑장 ,0.846260
124,에버랜드 ,0.996907
125,이쁜아가들 사진 인증 워치 충전기로 머하시죵 10 21mk 엔돌핀,0.136023
126,금리단길 주택개조카페 라 매장 내 외부 인테리어도 인상 깊고 공간이 분리되어 프라이빗한점 2층과 3층,0.424643
127,화이팅,0.146278
128,자부데이,0.497564
129,커피내리는버스정류장 ,0.960277
130,애견카페 모두 다 있는곳 ,0.324688
131,양주 브리티시가든 스튜디오카페 ,0.741732
132,그랜드워커힐 도서관 ,0.962682
133,원픽카페 ,0.378975
134,안동 흥국관그 중에서도 탕수육은 정말 인정 우리 준이는 가기 전에 속 안 좋다고 했는데도정말 잘 먹음 맛집 맛집투어 흥국관 중국집 칠리새우 탕수육 간짜장 초마 옛날제육짬뽕 예약 필수 ,0.591502
135,bongdu s2 고맙 nonameokgae ,0.256081
136,반려견 동반불가 ,0.377054
137,에버랜드 ,0.987386
138,휘게포레스트 숲속캠핑장 ,0.615652
139,한옥마을,0.985503
140,에버랜드 ,0.997418
141,반려견전용캠핑장 ,0.692366
142,고모리 카페 ,0.462946
143,대관문,0.646704
144,노키즈존이에요 너머 똑땅한그 o o 애엄마는 웁니댜,0.279588
145,가좌 서광식당 ,0.836254
146,원주달항아리 원주카페 ,0.770575
147,에버랜드 ,0.997365
149,에버랜드 ,0.990459
150,인테리어도 ,0.247749
151,동과 ,0.150584
152,상봉역 3번출구 도보 1분거리,0.308156
153,춘천 애막골술집 애막골 피로연전문 결혼식뒷풀이 안주맛집 춘천맛집 분위기좋은술집 예쁜술집 예술관 애막골맛집 룸술집 한식요리사 춘천최고맛집 룸예약 안주최고 프라이빗 룸포차 카페같은술집 룸술집 예쁜룸술집 애막골룸술집 예약필수 요리주점 ,0.276779
154,조천읍카페 ,0.771221
155,경기 김포시 하성면 봉성로 243,0.782035
156,morning coffee,0.842023
157,대관문의 노키즈존 포메스타그램,0.311958
158,마당포차 ,0.970658
159,공룡박물관,0.266618
160,육월육일 틴더타운,0.728427
161,틴더타운,0.971880
162,제주 구좌읍카페 ,0.453471
163,원주달항아리 원주카페 ,0.441550
164,구월동 카페 ,0.539542
166,소소한카페,0.351210
167,n436 ,0.982458
168,안목해변 ,0.645334
169,I m so happy with just one box,0.726175
170,산책하기 좋은날 돈가스덮밥 ,0.160530
171,두포레 시흥,0.362757
172,호호,0.339088
173,고메커피기흥아울렛가기전,0.504699
174,팔공산카페 ,0.935787
176,용인애견카페 ,0.227079
177,대관문,0.428225
178,온의동닭갈비거리 유림닭갈비 골목길,0.660405
179,요리주점 ,0.360146
180,양주 옥정호수공원뷰,0.418183
181,할로윈 포토존 사진찍으러 놀러오세요 오징어게임 옷 입고 사진찍기 세상 귀욤귀욤한 빰이 photo by younga5700,0.208565
182,장성카페 스테이196 ,0.301540
183,선경도서관 ,0.885170
184,멍스크로스낮과는 다른 느낌의 멍스크로스 애견카페 멍스크로스 mungs cross 봉담애견카페 화성애견카페 수원애견카페 서울애견카페 서율근교애견카페 안산애견카페 오산애견카페 동탄애견카페 평택애견카페 용인애견카페 오픈중 ,0.353810
185,포항 오션뷰 4층짜리 대형 카페 ,0.697436
186,제주,0.690406
187,구름이 씽씽 뛰뛰우쭈쭈내새끼 옷 넘 이뽕잘 보관해둘게용,0.174755
188,할로윈 천국 어두울때 집에 오는데 기분이 요상 얼집에서 저녁까지 먹여주는 날 한달에 한번씩 해줬음 좋겠네 사진 못찍는다고 구박해서 미안 그래도 한장 건졌네,0.375141
190,패밀리존 ,0.281673
191,경남 김해시 가락로93번길 60 ,0.809442
192,rupin kim ,0.642710
193,요리주점 ,0.759246
194,성동구 ,0.211376
195,서울 강북구 삼양로181길 56 102호 ,0.332194
196,디럭스더블 아차산뷰 ,0.287833
197,온의동닭갈비거리 유림닭갈비 골목길,0.345657
198,대관문,0.274512
199,원주카페 ,0.439278
200,2층,0.840586
201,용인애견카페 ,0.341578
202,다섯살주하 제주,0.416650
203,성내공영주차장,0.260042
204,여름날강아지 10월21일 금 12시 오픈여름날강아지 드라이브 스르륵 서비스 운동장,0.336134
205,하이디펫 ,0.938276
206,베이빈데,0.960054
