,음식점명
1,하도리1091
2,세러데이 아일랜드
3,말이
4,레이식당
5,웅스키친
6,갈레트 갈랑
7,종달리엔
8,삐꼴라쿠치나
9,초밥군커피씨
10,키친오즈
11,한림로342쩜빵
12,협재화덕 도나토스
13,코르소 제주
14,시즌박스
15,다람쥐식탁
16,털보네 고양이
17,담아래
18,저녁정원
19,아파트먼트 카페
20,커피타는야옹이
21,바다다
22,커피맛이멜로
23,제주카페스르륵
24,몰마농
25,카페 물고기
26,닻
27,올댓제주/탑동마차
28,풍림다방
29,바보카페
30,카페오길
31,카페리 CAFE RI
32,브릭스제주
33,행온
34,너는 파라다이스 길리
35,구름물고기
36,까미노
37,카페 가호
38,애월더선셋
39,니모메 빈티지 라운지
40,스테이굿무드(Stay good mood)
41,귤꽃카페
42,굿바이폴리
43,카페동백
44,마노르블랑
45,바다는안보여요
46,북촌에 가면
47,소년감성
48,오버더윈도우
49,이런날엔
50,키친오즈
51,아지
52,응식당
53,초량845
54,카페 초량
55,마틴커피로스터스
56,더가미
57,리틀 앤 머치
58,모던눌랑 센트럴시티점
59,카페 하품
60,다정도병인양
61,콩커피하우스
62,85
63,더피아노
64,키에리 KYERI
65,카페앤아더
66,카멜카페
67,레이어드
68,웨일즈독
69,서울리즘
70,몽모텔
71,리얼허브애견카페
72,카페라쿠나
73,프로젝트힐사이드
74,카페 라뷰
75,바라보다
76,플라워카페나무기린
77,뀌숑(CUISSON)
78,숨
79,어스17
80,크로프트 커피 (CROFT COFFEE ROASTERS)
81,블랙바나나
82,로즈마리누스
83,비스트로공작새
84,빈티지38
85,어반오아시스
86,탁이네 반려견카페
87,카린 영도 플레이스
88,프레드
89,헤이든카페
90,MMML
91,두낫헤지테이트
92,밥을 짓다
93,블루카페인(BLUECAFEIN)
94,히어앤나우
95,로우308
96,숲스토리
97,후트
98,헤이밍
99,카페벙커(본점)
100,빛꾸리
101,아덴
102,11체스터필드웨이
103,페트커피
104,홍앤리 식탁
105,코나하우스
106,스트롤링 커피 로스터스
107,시계태엽더시크릿
108,헤이그린
109,1997영국집
110,드네스
111,이슬미로
112,모노블
113,풍미독서
114,에스오이(SOE)
115,미로객잔
116,일 키아쏘
117,카페베이266
118,카페미카야
119,풍세커피
120,피자 아이코닉
121,오마일
122,Zero Complex
123,요새
124,아지오1101
125,르쟈뎅드카페
126,카페페이지
127,504b 로스터리 하남카페
128,브라이튼
129,그리너리
130,마이알레
131,어라운드마켓
132,차마실산
133,뽀앤쏘
134,앵커커피
135,행복이가득한집
136,스테이196
137,하늘마루정원
138,들바람꽃
139,에비뉴1465
140,카페 네살차이
141,알베로
142,샬롯
143,라벨라치타
144,홀썸커피
145,테이블탑커피
146,리오다
147,어반페어
148,카라멜부띠크
149,행아당
150,민스크
151,카페오하이오
152,워이워이
153,IWLT
154,유어예
155,다운트 (DAUNT)
156,콘체르토
157,카페갤러리(GALLERY)4978
158,꽃소년
159,팀버 구미역점
160,관광호텔 상상속의집
161,커피웰스
162,갤러리안나
163,카페 비
164,파인땡큐
165,뉴저지
166,비브레이브
167,카페 님만
168,듀윗(Deweet)
169,이름없는집
170,꽃달임
171,어제아래
172,커피앤톡 카이스트점
